Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
12-05-2025,AQS,360050110,1,0.048,ppm,44,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
13-05-2025,AQS,360050110,1,0.037,ppm,34,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
14-05-2025,AQS,360050110,1,0.032,ppm,30,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
15-05-2025,AQS,360050110,1,0.033,ppm,31,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
16-05-2025,AQS,360050110,1,0.027,ppm,25,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
17-05-2025,AQS,360050110,1,0.048,ppm,44,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
18-05-2025,AQS,360050110,1,0.037,ppm,34,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
19-05-2025,AQS,360050110,1,0.035,ppm,32,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
20-05-2025,AQS,360050110,1,0.028,ppm,26,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
21-05-2025,AQS,360050110,1,0.031,ppm,29,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
22-05-2025,AQS,360050110,1,0.025,ppm,23,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
23-05-2025,AQS,360050110,1,0.019,ppm,18,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
24-05-2025,AQS,360050110,1,0.025,ppm,23,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
25-05-2025,AQS,360050110,1,0.031,ppm,29,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
26-05-2025,AQS,360050110,1,0.04,ppm,37,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
27-05-2025,AQS,360050110,1,0.039,ppm,36,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
28-05-2025,AQS,360050110,1,0.031,ppm,29,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
29-05-2025,AQS,360050110,1,0.037,ppm,34,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
30-05-2025,AQS,360050110,1,0.032,ppm,30,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
31-05-2025,AQS,360050110,1,0.037,ppm,34,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
01-06-2025,AirNow,360050110,1,0.037,ppm,34,IS 52,18,75,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
02-06-2025,AQS,360050110,1,0.043,ppm,40,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
03-06-2025,AQS,360050110,1,0.051,ppm,47,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
04-06-2025,AQS,360050110,1,0.059,ppm,64,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
05-06-2025,AQS,360050110,1,0.067,ppm,90,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
06-06-2025,AQS,360050110,1,0.058,ppm,61,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
07-06-2025,AQS,360050110,1,0.032,ppm,30,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
08-06-2025,AirNow,360050110,1,0.046,ppm,43,IS 52,18,75,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
09-06-2025,AQS,360050110,1,0.039,ppm,36,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
10-06-2025,AQS,360050110,1,0.028,ppm,26,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
11-06-2025,AQS,360050110,1,0.064,ppm,80,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
12-06-2025,AQS,360050110,1,0.075,ppm,115,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
13-06-2025,AQS,360050110,1,0.053,ppm,49,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
14-06-2025,AQS,360050110,1,0.035,ppm,32,IS 52,15,88,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
16-06-2025,AQS,360050110,1,0.033,ppm,31,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
17-06-2025,AQS,360050110,1,0.014,ppm,13,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
18-06-2025,AQS,360050110,1,0.039,ppm,36,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
19-06-2025,AQS,360050110,1,0.044,ppm,41,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
20-06-2025,AQS,360050110,1,0.045,ppm,42,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
21-06-2025,AQS,360050110,1,0.071,ppm,101,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
22-06-2025,AirNow,360050110,1,0.04,ppm,37,IS 52,18,75,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
23-06-2025,AQS,360050110,1,0.077,ppm,122,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
24-06-2025,AQS,360050110,1,0.056,ppm,54,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
25-06-2025,AQS,360050110,1,0.052,ppm,48,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
26-06-2025,AQS,360050110,1,0.035,ppm,32,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
27-06-2025,AQS,360050110,1,0.035,ppm,32,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
28-06-2025,AQS,360050110,1,0.039,ppm,36,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
29-06-2025,AirNow,360050110,1,0.054,ppm,50,IS 52,18,75,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
30-06-2025,AQS,360050110,1,0.065,ppm,84,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
01-07-2025,AQS,360050110,1,0.049,ppm,45,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
02-07-2025,AQS,360050110,1,0.045,ppm,42,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
03-07-2025,AQS,360050110,1,0.059,ppm,64,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
04-07-2025,AQS,360050110,1,0.038,ppm,35,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
05-07-2025,AQS,360050110,1,0.061,ppm,71,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
06-07-2025,AirNow,360050110,1,0.062,ppm,74,IS 52,18,75,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
07-07-2025,AQS,360050110,1,0.027,ppm,25,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
08-07-2025,AQS,360050110,1,0.058,ppm,61,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
09-07-2025,AQS,360050110,1,0.058,ppm,61,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
10-07-2025,AQS,360050110,1,0.058,ppm,61,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
11-07-2025,AQS,360050110,1,0.049,ppm,45,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
12-07-2025,AQS,360050110,1,0.046,ppm,43,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
13-07-2025,AirNow,360050110,1,0.036,ppm,33,IS 52,18,75,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
14-07-2025,AQS,360050110,1,0.029,ppm,27,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
16-07-2025,AQS,360050110,1,0.05,ppm,46,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
17-07-2025,AQS,360050110,1,0.048,ppm,44,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
18-07-2025,AQS,360050110,1,0.044,ppm,41,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
19-07-2025,AQS,360050110,1,0.053,ppm,49,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
20-07-2025,AirNow,360050110,1,0.06,ppm,67,IS 52,18,75,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
21-07-2025,AQS,360050110,1,0.044,ppm,41,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
22-07-2025,AQS,360050110,1,0.04,ppm,37,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
23-07-2025,AQS,360050110,1,0.04,ppm,37,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
24-07-2025,AQS,360050110,1,0.047,ppm,44,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
25-07-2025,AQS,360050110,1,0.058,ppm,61,IS 52,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
29-07-2025,AQS,360050110,1,0.072,ppm,105,IS 52,16,94,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
30-07-2025,AQS,360050110,1,0.076,ppm,119,IS 52,12,71,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
31-07-2025,AirNow,360050110,1,0.048,ppm,44,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
01-08-2025,AirNow,360050110,1,0.034,ppm,31,IS 52,24,100,44201,Ozone,,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
