Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
28-01-2025,AQS,340273001,1,0.045,ppm,42,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
29-01-2025,AQS,340273001,1,0.045,ppm,42,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
30-01-2025,AQS,340273001,1,0.041,ppm,38,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
31-01-2025,AQS,340273001,1,0.029,ppm,27,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
01-02-2025,AQS,340273001,1,0.044,ppm,41,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
02-02-2025,AQS,340273001,1,0.034,ppm,31,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
03-02-2025,AQS,340273001,1,0.028,ppm,26,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
04-02-2025,AQS,340273001,1,0.043,ppm,40,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
05-02-2025,AQS,340273001,1,0.041,ppm,38,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
06-02-2025,AQS,340273001,1,0.039,ppm,36,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
07-02-2025,AQS,340273001,1,0.035,ppm,32,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
08-02-2025,AQS,340273001,1,0.034,ppm,31,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
09-02-2025,AQS,340273001,1,0.035,ppm,32,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
10-02-2025,AQS,340273001,1,0.041,ppm,38,Chester,14,82,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
11-02-2025,AQS,340273001,1,0.033,ppm,31,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
12-02-2025,AQS,340273001,1,0.028,ppm,26,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
13-02-2025,AQS,340273001,1,0.037,ppm,34,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
14-02-2025,AQS,340273001,1,0.042,ppm,39,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
15-02-2025,AQS,340273001,1,0.035,ppm,32,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
16-02-2025,AQS,340273001,1,0.037,ppm,34,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
17-02-2025,AQS,340273001,1,0.041,ppm,38,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
18-02-2025,AQS,340273001,1,0.038,ppm,35,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
19-02-2025,AQS,340273001,1,0.033,ppm,31,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
20-02-2025,AQS,340273001,1,0.029,ppm,27,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
21-02-2025,AQS,340273001,1,0.037,ppm,34,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
22-02-2025,AQS,340273001,1,0.041,ppm,38,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
23-02-2025,AQS,340273001,1,0.042,ppm,39,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
24-02-2025,AQS,340273001,1,0.043,ppm,40,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
25-02-2025,AQS,340273001,1,0.039,ppm,36,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
26-02-2025,AQS,340273001,1,0.046,ppm,43,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
27-02-2025,AQS,340273001,1,0.036,ppm,33,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
28-02-2025,AQS,340273001,1,0.04,ppm,37,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
01-03-2025,AQS,340273001,1,0.041,ppm,38,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
02-03-2025,AQS,340273001,1,0.042,ppm,39,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
03-03-2025,AQS,340273001,1,0.043,ppm,40,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
04-03-2025,AQS,340273001,1,0.044,ppm,41,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
05-03-2025,AQS,340273001,1,0.043,ppm,40,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
06-03-2025,AQS,340273001,1,0.045,ppm,42,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
07-03-2025,AQS,340273001,1,0.047,ppm,44,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
08-03-2025,AQS,340273001,1,0.046,ppm,43,Chester,17,100,44201,Ozone,87,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,27,Morris,40.787628,-74.676301
